arm,rmse,gain_vs_incumbent_pf,fold_scores
xyz_chord_pf_plus_25pct_stride6_hmm,8.162747219782675,0.710598262541728,"[5.749639412234263, 8.36567690888495, 6.3118235610264755, 7.834516321695788, 11.340065491339477]"
xyz_chord_pf_plus_20pct_stride6_hmm,8.167352978428008,0.705992503896395,"[5.85494341626191, 8.013917191916693, 6.269903924614468, 7.56172931688268, 11.901312395949363]"
incumbent_pf_plus_20pct_stride6_hmm,8.196841319012504,0.6765041633118987,"[5.053858404638148, 8.578994444652542, 5.754556825310633, 7.681535440473495, 11.997783337570297]"
incumbent_pf_plus_25pct_stride6_hmm,8.213131259948959,0.6602142223754441,"[5.1407828251431145, 8.891815222063109, 5.9077182758994145, 7.913710376804708, 11.430222550414388]"
incumbent_pf,8.873345482324403,0.0,"[5.747893828707064, 7.892409172631683, 6.287898474869493, 7.817964696710119, 14.42499656500038]"
delta_md_ou_pf,8.873345482324403,0.0,"[5.747893828707064, 7.892409172631683, 6.287898474869493, 7.817964696710119, 14.42499656500038]"
xyz_chord_ou_pf,8.951019296207201,-0.07767381388279837,"[7.231355819840984, 7.219012401051158, 7.206357247453974, 7.50720625517757, 14.304528512765309]"
