fold,method,rows,rmse,gain_vs_v1_independent
0,identity_parent,156379,9.848025606198096,-0.1557539541737505
0,v1_direct,156379,9.739001967497796,-0.04673031547345019
0,v1_categorical_independent,156379,9.692271652024345,0.0
0,v1_categorical_structured,156379,9.802726945472752,-0.11045529344840688
0,nested_tuned,156379,9.717178244854066,-0.024906592829720964
1,identity_parent,156320,6.364449507244841,-0.23970278643814158
1,v1_direct,156320,6.15924117484897,-0.03449445404227003
1,v1_categorical_independent,156320,6.1247467208067,0.0
1,v1_categorical_structured,156320,6.166585230263504,-0.04183850945680412
1,nested_tuned,156320,6.110634953800673,0.014111767006026454
2,identity_parent,163943,9.601065601705123,-0.07144275103597941
2,v1_direct,163943,9.489450024064393,0.040172826604750966
2,v1_categorical_independent,163943,9.529622850669144,0.0
2,v1_categorical_structured,163943,9.460171197822614,0.06945165284652965
2,nested_tuned,163943,9.446183331117654,0.0834395195514901
3,identity_parent,148414,13.11974818155896,-0.07203105796329723
3,v1_direct,148414,13.016730069438271,0.030987054157391114
3,v1_categorical_independent,148414,13.047717123595662,0.0
3,v1_categorical_structured,148414,13.114066561932068,-0.06634943833640605
3,nested_tuned,148414,13.12815640714009,-0.0804392835444272
4,identity_parent,156679,7.600661588636337,0.040628150456277545
4,v1_direct,156679,7.653261737633604,-0.011971998540989404
4,v1_categorical_independent,156679,7.641289739092614,0.0
4,v1_categorical_structured,156679,7.679074935491816,-0.03778519639920219
4,nested_tuned,156679,7.6905201884944505,-0.049230449401836296
