outer_fold,inner_validation_fold,optimizer,decoder,categorical_weight,shrink,selection_objective,pooled_rmse,macro_component_rmse,harmed_well_rate_vs_parent,fit_seconds,n_iter_max,n_iter_median,tie_order,screen_train_folds,screen_train_rows,screen_candidates
0,1,log_avg_highreg_epoch200,structured_v1,0.5,0.55,5.8828022249972705,6.042670634240642,5.403196997267155,0.40625,42.19101405143738,200,200.0,4302,"[2, 3, 4]",7467,360
1,2,log_adaptive_epoch200,structured_physical,0.5,0.55,8.756251582202434,9.25492632699333,7.260227347829746,0.46875,19.7662935256958,114,114.0,5402,"[0, 3, 4]",7350,360
2,3,huber_avg_epoch120,structured_physical,0.5,0.4,11.85405750948323,12.853080677105321,8.856988006616957,0.5,12.068386554718018,120,120.0,6401,"[0, 1, 4]",7473,360
3,4,log_avg_smooth06_epoch80,structured_v1,1.0,0.25,7.2620094605844,7.539892893357998,6.428359162263606,0.4375,39.93777060508728,80,80.0,7320,"[0, 1, 2]",7588,360
4,0,log_avg_epoch300,independent_t140,1.0,0.55,8.920843206776379,9.59159956281057,6.908574138673807,0.40625,41.627532720565796,300,300.0,2222,"[1, 2, 3]",7460,360
